miRNA	TCGA-44-2655	TCGA-44-2657	TCGA-44-2661	TCGA-44-2665	TCGA-44-2668	TCGA-44-3396	TCGA-44-3398	TCGA-44-6144	TCGA-44-6776	TCGA-44-6777	TCGA-44-6778	TCGA-44-7659	TCGA-44-7660	TCGA-44-7661	TCGA-44-7662	TCGA-44-7667	TCGA-44-7669	TCGA-44-7670	TCGA-44-7671	TCGA-44-7672	TCGA-49-6742	TCGA-49-6743	TCGA-49-6744	TCGA-49-6745	TCGA-50-5930	TCGA-50-5932	TCGA-50-5933	TCGA-50-7109	TCGA-55-7283	TCGA-55-7570	TCGA-55-7574	TCGA-55-7576	TCGA-55-7724	TCGA-55-7725	TCGA-55-7726	TCGA-55-7903	TCGA-55-7910	TCGA-55-7911	TCGA-55-7914	TCGA-78-7163	TCGA-78-7540	TCGA-86-7711	TCGA-86-7713	TCGA-91-6835	TCGA-91-6836	TCGA-93-7348
hsa-let-7a-2-3p	0.15200309344505006	0.4452837861469642	0.4150374992788437	0.46190410431681794	0.3360492031320152	0.4680447489420052	0.1533507769067966	0.09114788805819543	0.14886338591448278	0.10757988719981465	0.1582620839167324	0.042855478961797075	0.22026612022806016	0.09826401631486607	0.11049954126555081	0.06596326237835856	0.09397614820901377	0.14905580939471302	0.040737625389746436	0.08979667035064584	0.15100778809968252	0.12940389123106522	0.05672259001194132	0.1944177937594036	0.07594885323329842	0.03345529718547974	0.027546326885662532	0.07716786052245996	0.12351453648535415	0.19264507794239583	0.1855556531560765	0.19464743085354358	0.03699420748220157	0.03170885972733806	0.04306872189188594	0.6234366485357918	0.028999871722552435	0.0	0.1750867065580911	0.07447821595927652	0.08406426478847455	0.1679446373140717	0.09485918634144119	0.15200309344505006	0.13750352374993502	0.058298640564667166
hsa-let-7a-3p	0.0	0.0	0.0	0.07082133718969685	0.04654258593703025	0.0	0.05294887994895902	2.5015776062214954	2.879450067517984	1.0770224202238448	1.5988346753027136	1.2490717527957464	1.4928442987327246	1.580719276953817	1.2038166920813078	2.0271623309825255	1.2184235191335024	2.0267398479524212	1.6804371557280908	1.9867031773865422	1.7713756249520376	1.4887471854618533	0.825321468587053	1.803972282662952	0.795048026605991	1.4396816263795023	0.9010849739273129	1.1360615495760285	1.595669006562559	1.7109703856332616	1.8194277543581792	1.8568750579014028	1.8829605788097807	1.647698256069119	1.6698513983076693	1.0	1.2139985356016934	0.8579809951275721	1.6702945545209185	1.8831287780149528	1.7782085763980877	1.493040011280117	1.335867285845236	2.321928094887362	2.169925001442312	0.757639162430956
hsa-let-7a-5p	10.714650980123558	10.421642905535178	11.187161706367617	10.194253540534735	10.293094695399217	9.365680699318542	11.267207827029006	11.972425757204153	11.982714628340403	10.073804688116347	13.080474318932215	11.572612160837732	11.878418347990948	12.031880304878364	12.396563514789507	12.719850369885608	11.890063271521827	12.787370948660246	11.898187388120835	10.86504507553089	12.53824078691238	12.472819602754596	11.305660356617281	13.110907377641322	10.98301283926819	12.488871579804698	12.023536437344868	12.178777697137592	12.861512579923321	11.956618159270013	12.727753651653938	12.377858211702796	11.936556682355397	12.022425612152714	11.169342988964514	11.685328879211289	11.359451357593864	10.027661265807138	11.890072192594362	11.802508340794489	12.58660526060361	12.733365849117547	12.246956735820083	11.682440467352336	11.724802780049018	13.025813834714906
hsa-let-7b-3p	2.9385994553358565	2.373172373512057	3.067744606635834	2.1849688816667623	2.6276833757057783	3.827575655007956	2.3273112915842655	1.9110662715797118	1.7938506577078566	1.1032539617970247	2.277769178372821	1.4587724022489077	1.1482800074023327	1.5593139133505463	1.4600839790557785	1.618321097667587	1.0544477840223765	1.4692126394298828	1.2764575783731869	0.9460611928891963	1.6624412533988735	1.4705425900842628	1.0722820642174775	1.6854438937689902	1.310968882897496	1.669851398307669	1.441304273937934	1.1995644918821864	1.4498748776879775	1.3625700793847082	1.7705181538772328	1.5137714528642034	1.877871702136981	1.53605290024021	1.0	0.8566358248288228	1.0956246036100197	0.5545888516776374	1.2873896761828836	1.1409736277461833	1.4646682670034443	1.5790132343899697	1.4062566137366341	1.138827704697317	1.282933963271499	1.1211863465200576
hsa-let-7b-5p	11.888362741170644	11.22544914943412	11.970990776044133	11.638933905792236	11.092702994440453	10.564999434402516	10.52384587992937	10.488265860420064	10.225443229220057	9.117148727867624	11.374398490056926	9.896621451033502	9.669834798720263	9.253134203520244	10.284556534085354	10.631267485292748	9.896652604983657	10.844865857518863	9.754181954706238	9.021629477408034	10.690461650418623	10.528339528631893	9.96973813760461	11.56704746389373	9.998880075506172	10.685578600982693	9.949925128494714	9.59247757312148	10.832063476439004	9.320800548881637	10.733472313809584	10.165953799256918	10.578850516520433	9.986284510589046	9.442461847102512	9.254996661317044	9.495276753765303	8.325071171479351	10.02100979971145	9.773532243216465	10.483815777264256	10.50598303939345	10.228129860969178	9.219168520462162	9.460182826694306	10.622231116531642
hsa-let-7c-3p	0.07800251200127317	0.0	0.03652587602511388	0.10496955960154247	0.04654258593703025	0.0	0.0	0.32192809488736235	0.23132554610645553	0.3163326319938428	0.23132554610645553	0.13816243905752457	0.27045187739627674	0.3583268556173688	0.11049954126555081	0.3032466738212873	0.25375659224578306	0.2841434324278921	0.11891630138670703	0.05199463763826136	0.5411900986922507	0.43499501140516567	0.17673868703303516	0.40911266532173834	0.10524316002733687	0.24815016874781468	0.1579008570259493	0.19264507794239583	0.30408678212717527	0.19264507794239583	0.2700891633677442	0.2630344058337938	0.2089468902714965	0.16635838642212006	0.13882770469731673	0.14809863898913392	0.09904736925080886	0.0874628412503394	0.1750867065580911	0.1279174749207369	0.3334237337251918	0.26006283930250296	0.20831723612472508	0.3593280666925563	0.28950661719498505	0.12800761237607167
hsa-let-7c-5p	7.588922801666008	7.10988228750512	7.917027747153104	7.559551455773111	7.245903333571127	6.871250487863502	5.487051111315047	6.90519076892603	7.574470126903514	6.380859014300306	8.228330740099317	6.818124481123286	7.382367762371155	7.603544652637832	7.07458083995733	7.604732032919632	7.13817332605588	8.16593244210193	7.317596094781318	6.243567070539791	8.519039694476326	8.183216972238844	7.044476293769144	8.915898965235634	7.134565074252376	7.708977660112076	7.115986884088009	6.979542975008486	8.119086024952717	6.999865814533607	7.6983301662797565	7.496831590442492	7.493101642526934	7.122511674224178	6.8203079183965825	5.929458352513794	6.7878031443135205	5.36011549438666	7.1374594524804875	7.157999356296784	7.657997205199965	7.443557539288894	7.421206955202606	7.594041794632019	6.862258512131158	8.289828762273311
hsa-let-7d-3p	8.13299946317564	7.828055780754325	8.484229038521992	7.6991741003881184	7.9846752554141895	8.683877120219405	7.5309441034876325	5.094823546201593	4.8334401362079715	4.045240026765208	4.45238151988009	4.1361023286962	4.239290945909817	4.013836063420751	4.189332859532738	4.71561083163754	4.328157058926016	4.549778120733551	4.037176706602598	4.137954671418454	3.979331560396738	3.845232502385584	3.2251017085944342	4.0605010435269495	3.991690366424083	4.446877127783706	4.0451313435440195	4.027480736422107	4.199617515571146	4.799975391692007	4.7751745163084545	4.686189232535147	4.674994701583629	4.289506617194985	3.492176897260422	3.912080151711082	4.197728112382103	3.233619676759702	4.047680976853795	3.9056161299418135	4.249445341085838	4.243232764618309	3.868088324494419	4.2745252256565704	4.302562770020431	3.3972666387504935
hsa-let-7d-5p	2.712718047919529	3.314573643748211	3.7089512179966095	2.4733866723641107	3.0832831327520482	2.7799453835417727	3.28228736689827	4.529006094747141	4.121195636459244	2.8595848808301616	5.580512562384985	4.019353241943294	3.393025493978686	3.820460151150732	4.1782746446627375	4.183454011235943	3.671336926196832	4.253083684196129	3.4386231563573912	3.2289951561606953	4.816211273018111	4.1052710637531415	3.3928338699082734	5.009576259583082	3.439443440846305	4.42183038921242	3.8085959501262936	3.721024050297185	4.099737153202229	3.8232155769668954	4.23821738849813	4.052145353804867	4.094060543484764	4.078002512001273	3.450128163747206	3.3566006725421422	3.3954525816530383	2.412216980216465	3.707581787385112	4.166204658512633	3.9011082430145123	4.082214763288188	3.638804927906464	3.436732570378163	3.976770946588344	4.284257676921307
hsa-let-7e-3p	1.2394659346953891	1.4180908232563976	2.054447784022376	1.4252093043361351	1.4355848766829296	1.9628094406915833	1.2528864504577109	1.0	1.0	0.7406838824123163	1.0713846332367654	0.8592304063435221	0.6854893766751207	1.0345384187044788	0.736965594166206	0.7867186293633057	0.9577717646107027	0.82823365173352	0.5815151991026875	0.6747591710718019	0.9022399513389371	0.8079591922406325	0.40141421541486877	0.9976329854560838	0.5613756804035404	0.8079591922406325	0.5294446665544985	0.37484840916314505	0.9715114430403043	0.6300503902496941	0.9050034860642531	0.7935491225325737	0.9131225493200331	0.6061789866308519	0.886343218204433	0.5047921520371728	0.6306136129938722	0.2854022188622483	0.6105883083966506	0.6133443020909787	1.01435529297707	0.9362744023896129	0.5229528384457314	0.8544591571846469	0.8210298589546806	0.6480146712564578
